episode,steps,episode_reward,completed_tasks,risk_exposure_sum,late_tasks,total_path_length,total_energy,total_conflicts,total_invalid_actions,total_replenishments,total_returns
1,240,3679.2437661954514,81,56640.0,2,3155,18.11246760909765,6,0,23,24
2,480,3603.1771915199006,67,60240.0,2,3280,18.24561696020047,5,0,24,24
3,720,3641.5661301869,82,57120.0,1,3361,19.467739626200423,4,0,22,24
4,960,4379.374433084705,77,53040.0,2,3158,17.85113383058995,4,0,20,23
5,1200,3576.0368160774406,66,60720.0,2,2999,17.52636784511786,2,0,22,21
6,1440,3741.0692212301587,67,59280.0,1,3085,17.461557539682453,6,0,20,24
7,1680,3366.0049148032563,63,62640.0,1,3023,17.590170393487274,4,0,22,24
8,1920,3571.680433384774,67,60720.0,2,3212,18.239133230452683,4,1,21,22
9,2160,4231.062731481482,79,54240.0,1,2997,17.474537037037038,6,0,20,22
10,2400,4207.796159511784,85,52800.0,1,3077,18.007680976431047,4,0,21,21
11,2640,4235.923505629116,72,55440.0,1,2592,15.75298874176853,3,0,17,19
12,2880,3992.823958268872,71,57360.0,1,2447,14.952083462256578,6,0,17,19
13,3120,3792.354869186047,79,57120.0,1,3074,17.89026162790697,6,0,20,21
14,3360,4334.592472718255,68,55680.0,1,2499,14.415054563492143,5,0,15,16
15,3600,3756.8969907407404,51,62160.0,1,1754,9.80601851851853,5,0,7,5
16,3840,3714.1107894199336,50,62160.0,1,1470,8.378421160130765,8,0,8,8
17,4080,4111.7991319444445,64,57600.0,1,2059,12.001736111111166,5,0,10,10
18,4320,4182.348927888339,69,56160.0,1,2348,13.902144223322527,10,0,15,15
19,4560,3809.828452932099,58,60720.0,2,2259,12.943094135802527,7,0,14,14
20,4800,4326.267881944445,68,55440.0,1,2388,14.064236111111217,3,0,14,15
21,5040,4175.104870592177,70,56160.0,0,2374,14.39025881564465,3,0,16,15
22,5280,3743.0673335537917,74,57840.0,2,2780,16.46533289241631,4,0,18,18
23,5520,4638.103153262274,84,49920.0,1,2931,17.39369347545227,8,0,20,21
24,5760,4155.254957561729,73,56160.0,1,3162,18.09008487654324,8,0,20,20
25,6000,3924.6704895152507,84,55440.0,1,3006,18.25902096949899,7,0,22,23
26,6240,3993.792456092861,79,55440.0,2,3075,18.01508781427773,4,1,22,21
27,6480,3658.4151981258215,71,59520.0,1,3229,18.769603748357646,4,0,24,23
28,6720,3591.1827706876074,76,58560.0,1,3299,19.234458624785354,6,0,25,25
29,6960,3955.6895254629626,72,56880.0,3,3180,18.220949074074202,6,0,24,25
30,7200,3350.0872395833326,58,63600.0,1,2996,17.425520833333373,3,0,24,27
31,7440,3529.3314902166317,67,60480.0,2,3130,17.937019566736627,3,0,22,24
32,7680,2953.0225077792957,43,68880.0,2,2858,15.554984441408712,0,0,24,26
33,7920,3604.611565951916,69,60480.0,1,3380,19.37686809616644,4,0,23,23
34,8160,3939.175005358368,75,56640.0,1,3146,18.24998928326476,5,0,23,23
35,8400,3153.8254822530866,62,64560.0,1,3227,18.949035493827193,4,0,24,25
36,8640,3864.1671874999993,77,56160.0,1,3301,18.265625000000078,6,0,21,23
37,8880,3873.0288135090223,78,55920.0,2,3663,19.542372981956305,9,0,24,23
38,9120,3228.2974033980877,66,62160.0,2,3479,19.005193203824785,6,0,22,22
39,9360,3619.462422839506,72,58560.0,2,3347,18.675154320987588,3,0,23,25
40,9600,3573.546952436067,80,57600.0,1,3229,18.506095127866086,3,0,22,23
41,9840,3566.105751345151,64,60720.0,1,3179,17.38849730969823,1,1,20,20
42,10080,3567.606712962963,71,59520.0,3,3320,18.386574074074083,9,0,19,22
43,10320,3423.5778136022927,62,62160.0,2,3373,18.44437279541453,8,0,22,22
44,10560,3167.7816840277774,63,63120.0,1,3200,17.03663194444451,6,0,20,20
45,10800,3081.8966969373223,66,63360.0,2,3068,16.80660612535628,5,0,20,21
46,11040,3580.240053530092,69,59520.0,2,2808,16.11989293981484,9,0,16,19
47,11280,3312.4469907407406,60,63120.0,1,2688,14.706018518518647,11,0,13,17
48,11520,3488.9568687678056,67,60480.0,1,3254,17.686262464387426,8,0,17,19
49,11760,3862.0657407407407,78,55920.0,2,3153,17.4685185185186,8,0,17,20
50,12000,3512.106423611111,72,59760.0,3,3288,18.387152777777906,16,0,17,21
51,12240,3983.6038773148152,84,53760.0,2,3243,18.39224537037041,14,0,20,22
52,12480,3282.2051504629635,76,60480.0,2,3458,19.18969907407427,16,0,21,23
53,12720,3417.2559027777775,77,59280.0,2,3220,18.08819444444452,13,0,20,22
54,12960,3128.1102553310893,66,63360.0,2,3392,18.37948933782274,9,0,22,22
55,13200,3300.455451502919,74,60480.0,1,3400,18.689096994161766,13,0,21,22
56,13440,3709.120899971941,79,56640.0,1,3523,19.358200056116647,12,0,22,22
57,13680,3180.3766617063493,70,61920.0,2,3480,18.846676587301584,14,0,21,22
58,13920,3156.5298418209877,69,62400.0,2,3334,18.54031635802466,12,0,18,23
59,14160,3619.4959332912467,79,57120.0,2,3367,18.60813341750855,12,2,20,22
60,14400,3427.248802258698,73,59760.0,2,3289,18.102395482604056,14,0,18,22
61,14640,2946.9326234437563,57,65520.0,2,2834,15.734753112487533,11,0,16,19
62,14880,2596.2974840167553,45,70080.0,2,2297,12.005031966490359,13,0,13,14
63,15120,3082.2180586162167,53,65520.0,2,2550,14.163882767567015,11,0,15,15
64,15360,2659.5851316248472,52,68400.0,1,2309,12.429736750306546,13,1,13,13
65,15600,2526.7033978174604,48,70080.0,2,2329,12.193204365079426,10,1,13,13
66,15840,2588.247366584996,49,69360.0,2,2034,11.10526683000647,8,0,13,13
67,16080,2580.4096901868384,40,70800.0,2,1669,8.780619626322682,8,0,9,9
68,16320,2328.5658926504634,36,73440.0,2,2029,10.468214699074196,10,0,11,11
69,16560,2021.8487511613446,37,75120.0,3,1487,7.90249767731164,6,1,13,13
70,16800,2030.4915750385803,35,75120.0,3,1679,8.616849922839434,9,0,13,13
71,17040,1900.1033546753597,35,76800.0,2,2567,14.393290649280313,11,0,20,21
72,17280,2261.4868055555557,40,72960.0,2,1832,9.626388888888934,12,0,12,14
73,17520,1790.3317577227297,34,77040.0,2,1724,8.936484554540161,12,0,14,13
74,17760,2492.2013888888896,47,70560.0,2,2708,14.197222222222308,12,0,16,15
75,18000,2397.7221951162733,39,72480.0,2,2054,11.15560976745431,12,0,13,14
76,18240,2607.3925341227805,49,69360.0,1,2192,11.814931754437884,12,0,14,14
77,18480,2629.4319194549666,49,69120.0,2,2361,12.736161090067405,12,0,15,17
78,18720,2799.315152391975,57,66720.0,2,2729,14.969695216049523,12,0,20,22
79,18960,2363.1171660764066,54,69840.0,2,2803,15.36566784718682,13,0,24,25
80,19200,2522.8814047091796,49,70080.0,2,2690,14.837190581642078,12,0,21,21
81,19440,2889.5657031625783,60,65760.0,2,2735,15.468593674843767,15,0,18,19
82,19680,2957.971486183449,62,64800.0,1,2935,16.6570276331019,10,0,20,22
83,19920,2734.187299472011,59,66960.0,3,3107,17.225401055978256,14,0,21,22
84,20160,2583.745898582439,51,69600.0,2,2825,16.10820283512099,13,0,20,21
85,20400,2837.476278662113,61,65760.0,2,2995,16.6474426757747,11,0,21,22
86,20640,2978.9181625280576,63,64080.0,3,2723,14.763674943883446,16,0,16,16
87,20880,2496.9372078924166,40,71520.0,2,1920,9.725584215167567,14,0,9,9
88,21120,2172.1221371839442,38,74400.0,2,2129,11.355725632112119,13,0,11,11
89,21360,2686.7619984567896,48,68880.0,2,2284,12.076003086419847,11,0,13,14
90,21600,3062.5603145424834,69,62640.0,2,3428,18.479370915032725,12,0,21,22
91,21840,3407.2656366637952,71,59760.0,2,3500,19.068726672409092,16,0,21,24
92,22080,3393.900230562904,73,60000.0,1,3220,17.7995388741917,10,0,20,21
93,22320,3570.3576774691355,82,57120.0,1,3221,17.884645061728445,12,0,21,20
94,22560,3169.4328941993463,74,61200.0,2,3375,18.734211601307262,13,0,21,22
95,22800,3038.7534143518524,71,62640.0,1,3321,18.093171296296436,15,0,21,23
96,23040,3029.9707589285717,64,64320.0,1,3407,18.65848214285724,10,0,22,22
97,23280,3458.505613425926,85,57600.0,1,3305,18.588773148148324,12,0,21,23
98,23520,3324.665740740741,70,61200.0,1,3531,19.268518518518583,13,0,19,21
99,23760,3118.168840939153,72,62160.0,1,3460,19.262318121693067,11,0,22,24
100,24000,3556.3784143518524,80,57600.0,1,3416,18.84317129629639,9,0,21,22
101,24240,3404.8737847222233,74,59760.0,1,3388,18.852430555555724,14,0,19,23
102,24480,3348.2968171296297,76,59760.0,2,3472,19.006365740740797,7,0,21,24
103,24720,3591.2677083333338,70,59520.0,1,3278,18.064583333333402,12,0,21,23
104,24960,3422.774266975309,81,58800.0,1,3382,19.05146604938264,9,0,22,24
105,25200,3186.844560185185,74,61200.0,2,3399,18.910879629629697,13,0,21,23
106,25440,3379.729093295304,82,58560.0,2,3164,18.14181340939167,9,1,20,22
107,25680,3306.194386574074,76,60240.0,1,3508,19.211226851851926,16,0,22,23
108,25920,3366.969907407407,69,60240.0,3,3435,18.66018518518528,14,0,19,21
109,26160,3252.950338955026,77,59760.0,1,3427,18.69932208994716,14,0,21,24
110,26400,3046.2224729938275,69,62880.0,1,3139,17.155054012345797,12,0,19,21
111,26640,3031.2901620370367,67,63360.0,2,2922,16.019675925926023,13,0,17,19
112,26880,3455.9151289682545,70,60000.0,1,2954,16.769742063492156,14,0,17,21
113,27120,3042.5612847222224,59,64800.0,1,2916,15.477430555555575,13,0,19,18
114,27360,2892.1730020943564,58,66000.0,1,2829,15.25399581128758,11,1,16,18
115,27600,3288.9220110051124,67,61680.0,1,3043,16.755977989774326,14,0,17,21
116,27840,2644.582581018519,58,67920.0,2,3195,17.434837962963012,10,0,19,21
117,28080,2859.932175925926,65,65040.0,2,3070,16.73564814814832,16,0,19,20
118,28320,2970.538309571176,65,64080.0,2,3133,17.523380857648213,13,0,18,20
119,28560,3363.8906032986115,67,61200.0,1,3254,17.818793402777874,10,0,20,21
120,28800,2898.9696180555557,58,66480.0,1,3269,17.66076388888905,8,0,20,21
121,29040,3451.651649305555,66,61680.0,1,3073,17.296701388889012,9,0,19,21
122,29280,4057.952676113614,90,53040.0,1,2908,17.694647772772953,16,0,20,21
123,29520,4144.018778306159,86,53040.0,1,3008,17.562443387681213,14,0,22,21
124,29760,4171.390760030864,93,51600.0,2,2912,17.818479938271828,21,0,20,22
125,30000,4533.1506944444445,109,46320.0,2,2929,18.298611111111065,17,0,20,23
126,30240,4370.692650462963,104,48480.0,1,2909,18.214699074074304,15,1,20,23
127,30480,4178.447841187962,105,49680.0,2,2791,17.70431762407579,22,0,20,22
128,30720,4455.210590277778,110,46800.0,2,2900,18.17881944444455,13,0,20,23
129,30960,4293.141435185185,102,49440.0,2,2944,18.31712962962968,14,0,22,23
130,31200,4181.6910108024695,92,52320.0,2,2984,18.217978395061877,14,0,21,22
131,31440,4397.936574074074,98,49200.0,2,3087,18.726851851851904,17,0,20,23
132,31680,4419.019618055556,100,48960.0,1,3036,18.56076388888894,17,0,21,23
133,31920,4733.862434662486,114,43920.0,1,3065,18.875130675029958,9,1,22,23
134,32160,4592.601793981482,105,46560.0,2,2991,18.39641203703727,19,0,22,23
135,32400,4913.136481130752,106,44640.0,1,2974,18.327037738496166,8,0,22,23
136,32640,4958.155324074074,117,42000.0,2,2845,18.28935185185198,19,0,20,22
137,32880,4743.661694266381,101,46800.0,2,3010,18.276611467236485,14,0,21,22
138,33120,4896.503125,104,45360.0,2,2825,17.59375000000009,19,0,21,22
139,33360,5031.66574074074,114,42480.0,2,2908,18.26851851851874,13,0,21,23
140,33600,4907.668634259259,109,44160.0,2,2886,18.262731481481485,16,0,20,23
141,33840,4659.466666666667,106,46800.0,2,2806,17.666666666666796,14,0,20,22
142,34080,5080.820710915242,115,41760.0,2,2859,17.958578169515896,19,0,20,23
143,34320,4701.201331018519,105,46320.0,2,2873,18.197337962963157,19,0,19,23
144,34560,5091.778383190883,116,41520.0,2,2798,18.04323361823379,17,0,20,23
145,34800,4742.782961788782,108,45360.0,2,2875,18.034076422437124,13,0,20,24
146,35040,4841.034953703703,109,44640.0,1,2941,18.53009259259264,14,0,19,23
147,35280,5054.0971643518515,111,42960.0,2,2918,18.405671296296568,11,0,21,23
148,35520,4947.433989197531,114,42960.0,1,2753,17.732021604938303,17,0,20,22
149,35760,4561.657082023061,104,47520.0,2,2884,18.28583595387861,16,0,20,23
150,36000,5045.199016203704,124,40320.0,2,2785,18.201967592592705,13,0,20,23
151,36240,4971.457986111111,111,43200.0,1,2763,17.68402777777788,8,0,20,21
152,36480,4840.887094907406,103,45840.0,1,2876,17.825810185185183,11,0,21,21
153,36720,5078.68351521164,109,43200.0,2,3105,19.232969576719764,19,0,20,22
154,36960,4771.637191358025,104,46080.0,1,2915,18.325617283950592,11,0,21,23
155,37200,4622.204224537038,103,47040.0,2,2927,18.191550925926055,15,0,20,23
156,37440,4997.6023726851845,115,42240.0,1,2967,18.395254629629857,13,0,21,23
157,37680,4850.791030092592,110,44400.0,1,2861,18.01793981481495,12,0,20,22
158,37920,5058.284085648148,114,42480.0,1,2811,18.031828703703862,8,0,20,21
159,38160,4795.176983868635,112,44400.0,2,2914,18.246032262731713,12,0,23,23
160,38400,4857.043055555556,110,44160.0,1,2738,17.513888888889028,13,0,19,21
161,38640,4896.386858164983,104,45120.0,2,2842,17.82628367003374,15,0,20,22
162,38880,5116.71724537037,124,40080.0,1,2807,18.1655092592593,16,0,20,23
163,39120,5005.0256944444445,109,43680.0,1,2923,18.548611111111235,17,0,20,23
164,39360,5000.665192495127,122,41040.0,2,2844,18.269615009746705,14,0,19,23
165,39600,4878.855844907407,108,44640.0,2,2811,17.888310185185308,16,0,20,22
166,39840,4938.479687499999,112,43680.0,1,2963,18.640625000000206,11,0,21,23
167,40080,5103.711168981483,115,41520.0,2,2850,18.17766203703716,15,0,19,23
168,40320,4956.003125,107,44160.0,1,2845,17.59375000000009,14,0,20,21
169,40560,4993.192659796895,121,41040.0,2,2830,18.21468040621272,16,0,19,23
170,40800,4688.069386574074,105,46560.0,2,2923,18.461226851851944,13,0,20,23
171,41040,4921.896577000853,106,44400.0,1,2840,17.806845998297387,20,0,20,22
172,41280,4907.172974537038,114,43200.0,1,2893,18.254050925926,12,0,21,23
173,41520,5094.304340277778,116,41760.0,2,3014,18.991319444444596,25,0,21,23
174,41760,5005.154456018518,112,42960.0,1,2917,18.29108796296312,15,0,21,23
175,42000,4713.6350694444445,104,46800.0,1,2910,18.32986111111133,13,0,19,23
176,42240,5005.637962962963,118,41760.0,2,2877,18.324074074074204,21,0,21,23
177,42480,5101.118865740741,116,41280.0,2,2898,18.36226851851863,15,0,18,23
178,42720,5256.235274216525,123,39120.0,2,2810,18.1294515669518,16,0,20,23
179,42960,4879.6532986111115,111,43680.0,2,2884,18.293402777777885,19,0,20,23
180,43200,4671.683969907408,109,46080.0,2,2848,18.232060185185407,17,0,20,23
181,43440,4947.762202739534,117,42480.0,2,2714,18.075594520932384,24,0,20,23
182,43680,5161.592534722222,117,41040.0,2,2888,18.414930555555596,11,0,20,23
183,43920,4859.7188881421735,113,43680.0,2,2817,18.162223715651336,18,0,19,23
184,44160,4777.899247685185,105,45840.0,2,2808,17.801504629629857,16,0,20,22
185,44400,4923.118386813538,112,43440.0,2,2882,18.363226372924718,17,0,18,23
186,44640,4664.200826986261,104,47040.0,1,2882,18.198346027479108,13,0,20,23
187,44880,4801.233657407407,117,43680.0,2,2841,18.132685185185338,22,0,20,23
188,45120,4602.6272569444445,96,48720.0,2,2993,18.345486111111192,14,0,20,23
189,45360,4805.677025462963,109,44880.0,2,2872,18.245949074074183,19,0,20,23
190,45600,5014.128993055556,113,42480.0,2,2895,18.342013888889007,10,0,20,23
191,45840,4857.650115740741,111,43920.0,1,2920,18.299768518518658,14,0,21,23
192,46080,4950.639409722222,114,43200.0,2,2863,18.321180555555745,17,0,19,23
193,46320,4093.3792824074076,109,49680.0,2,2797,17.84143518518521,11,0,20,23
194,46560,4598.052314814816,99,47520.0,2,2818,17.495370370370424,12,0,20,22
195,46800,4869.230266203705,116,43440.0,2,2802,18.139467592592624,18,0,20,23
196,47040,4682.112905092592,107,46080.0,2,2893,18.374189814814976,11,0,18,21
197,47280,4890.133043981481,117,42720.0,2,2866,18.333912037037116,18,0,19,23
198,47520,5157.40474537037,124,39600.0,1,2955,18.790509259259363,18,0,21,23
199,47760,5034.1473386281405,107,43680.0,2,2973,18.305322743720804,16,0,20,23
200,48000,4825.746733931378,93,48000.0,2,2689,17.106532137243416,12,0,18,21
201,48240,4322.472357253087,84,52560.0,1,3465,19.655285493827325,9,0,22,22
202,48480,3600.7811222584915,75,59040.0,2,3337,19.037755483017648,9,0,22,24
203,48720,3438.0279456654457,62,62160.0,2,3401,18.54410866910868,8,0,21,22
204,48960,3837.751292438272,72,57360.0,2,3457,19.097415123456802,12,0,21,23
205,49200,3533.82892656351,69,60000.0,1,3403,18.942146872981287,8,0,22,22
206,49440,3494.800735435957,71,59760.0,1,3456,18.998529128086535,11,0,23,23
207,49680,3900.4238583754213,84,54960.0,1,3588,19.752283249158236,15,0,23,23
208,49920,3822.667640593598,72,57360.0,2,3291,18.26471881280513,14,0,22,23
209,50160,3577.558101851852,73,58800.0,2,3281,18.483796296296227,14,0,19,23
210,50400,3613.2056866959756,74,58800.0,2,3273,18.18862660805086,14,0,21,23
211,50640,3393.111364026063,67,61680.0,1,3264,18.37727194787388,15,0,19,22
212,50880,3772.8776694594526,76,57360.0,1,3402,18.84466108109526,15,0,24,24
213,51120,3485.1687996031746,70,60480.0,2,3287,18.26240079365088,15,0,21,22
214,51360,3566.901959517657,66,60480.0,1,3195,17.796080964685647,9,0,19,21
215,51600,2966.4431839427934,45,68160.0,2,2198,11.713632114413365,11,0,12,11
216,51840,2828.967092042257,45,68640.0,2,2134,11.665815915486547,12,0,13,12
217,52080,3687.1717964616405,68,59040.0,1,2942,16.256407076719672,11,0,19,20
218,52320,3461.9000342331774,61,62160.0,2,3031,16.799931533646376,10,0,18,20
219,52560,3669.145347683647,72,58320.0,1,2961,16.309304632705768,9,0,17,19
220,52800,3702.8529513888893,70,59040.0,2,2991,16.894097222222225,12,0,17,18
221,53040,3589.2704659237734,65,60480.0,2,2875,16.059068152454817,9,0,19,19
222,53280,3342.584143518519,56,63840.0,2,3043,16.431712962962983,12,0,18,20
223,53520,3589.9915509259263,67,60000.0,2,3071,16.61689814814809,11,0,17,20
224,53760,3505.784182098765,66,60720.0,1,3119,17.031635802469278,8,0,19,19
225,54000,3394.0810413975014,59,63120.0,1,3023,16.43791720499593,9,0,18,20
226,54240,3257.7551363768694,59,63600.0,1,2956,16.089727246262658,8,0,17,20
227,54480,3775.3194202196382,76,57120.0,1,3056,16.96115956072357,13,0,19,21
228,54720,3916.986439043209,72,57120.0,1,3186,17.627121913580392,10,0,19,21
229,54960,3466.1541727582844,67,60720.0,1,2749,15.29165448343091,8,0,17,19
230,55200,3697.9184862187767,70,58800.0,1,3061,16.763027562446254,9,0,19,19
231,55440,3673.5486283621085,68,59040.0,1,3131,17.50274327578123,11,0,20,20
232,55680,3588.9519097222224,72,59040.0,2,3057,16.696180555555635,9,0,19,20
233,55920,3603.1838734567905,60,61200.0,2,3174,17.232253086419796,12,0,19,21
234,56160,3830.968030753969,72,57360.0,1,3011,16.6639384920636,11,0,19,21
235,56400,3500.7366319444436,67,60480.0,1,2939,16.126736111111143,12,0,18,19
236,56640,3399.330960648149,60,62640.0,1,3095,16.938078703703752,14,0,19,20
237,56880,3753.764756944445,71,58320.0,2,3097,17.070486111111304,11,0,18,21
238,57120,3345.2110702981636,61,62880.0,2,3123,17.177859403673676,13,0,21,20
239,57360,3525.446523326211,67,60480.0,2,3024,16.706953347578338,10,0,18,22
240,57600,3670.043192177045,68,59520.0,2,3149,17.513615645911234,13,1,19,19
241,57840,3490.9276041666667,68,60480.0,2,3042,16.74479166666665,9,0,20,21
242,58080,3636.264826179538,71,58560.0,1,3056,17.07034764092267,13,0,18,22
243,58320,3550.1740244708994,67,60240.0,1,3087,17.251951058201172,12,0,18,22
244,58560,3873.7152390978417,74,56880.0,1,3289,18.169521804319533,10,0,19,21
245,58800,3662.9010013327725,73,58560.0,1,3225,17.797997334455733,12,0,20,20
246,59040,3998.749245541838,69,56880.0,1,3131,17.101508916323784,11,0,20,20
247,59280,3670.1703703703706,69,59040.0,1,3329,18.259259259259256,12,0,20,22
248,59520,3890.299341168091,82,55440.0,1,3253,18.001317663817808,9,0,20,21
249,59760,3532.7108459418773,70,59760.0,1,3038,17.178308116246747,11,0,19,21
250,60000,4028.350662878789,72,56400.0,2,3286,17.89867424242433,12,0,20,21
251,60240,3619.3963541666662,69,59280.0,2,3209,17.807291666666895,11,0,21,22
252,60480,3918.9322337962967,77,55920.0,1,3242,17.735532407407508,12,0,18,21
253,60720,3744.9420717592607,74,57840.0,2,3236,17.71585648148154,11,0,20,22
254,60960,3714.244174382716,66,59760.0,2,3344,18.11165123456792,10,0,22,21
255,61200,3755.540644290123,73,57840.0,2,3380,18.51871141975309,12,0,21,22
256,61440,3736.8613625663083,74,57360.0,2,3225,17.87727486738316,11,0,21,20
257,61680,3774.5645752583973,71,58080.0,1,2905,16.470849483204248,10,0,17,22
258,61920,3529.6315972222224,67,60480.0,1,3117,17.336805555555664,15,0,19,23
259,62160,3743.6524709302325,72,58080.0,1,3112,17.295058139534934,11,0,19,22
260,62400,3756.376967592593,71,58800.0,2,3005,16.846064814814806,13,0,18,21
261,62640,3419.6932499406466,60,62640.0,1,3163,17.213500118708595,12,0,19,19
262,62880,3489.760069444444,64,61200.0,2,2979,16.079861111111192,13,0,18,20
263,63120,3225.709239969136,64,62880.0,1,3140,17.181520061728456,11,0,20,22
264,63360,3195.878144078144,67,62640.0,2,3292,17.84371184371175,10,0,20,20
265,63600,3268.4325409544167,60,63600.0,1,3303,17.734918091168254,13,0,20,20
266,63840,3482.009201388889,67,60720.0,1,3186,17.58159722222235,11,0,19,22
267,64080,3519.0431891025646,63,60720.0,1,3280,17.513621794871796,12,0,20,20
268,64320,3287.145068158436,66,62160.0,1,3215,17.309863683127613,11,0,18,18
269,64560,3358.8532732928243,65,61920.0,1,3336,17.893453414351818,9,0,21,21
270,64800,3079.101793981481,62,64320.0,1,2981,16.39641203703708,9,0,18,22
271,65040,3538.722164351851,71,59760.0,1,3104,17.155671296296386,7,0,18,21
