scenario,label,arm,seed,coverage_auc,t90,t95,coverage_at_100,coverage_at_200,coverage_at_300,repeat_ratio,repeat_ratio_after_90,global_repeat_ratio,coverage_ratio,coverage_completed,mission_completed,coverage_steps,return_steps
cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),GAT-OFF,20260603,0.8691157894736843,139,161,0.7421052631578947,0.9868421052631579,1.0,0.810379241516966,0.9736842105263158,0.810379241516966,1.0,1,0,231,269
course4_native_config,Course-4 native config seed 20260431,GAT-OFF,20260431,0.8735894736842106,120,130,0.7684210526315789,1.0,1.0,0.810379241516966,0.975,0.810379241516966,1.0,1,0,166,334
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260440,0.8735894736842106,120,130,0.7684210526315789,1.0,1.0,0.810379241516966,0.975,0.810379241516966,1.0,1,0,166,334
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260441,0.8322947368421053,176,224,0.6368421052631579,0.9315789473684211,1.0,0.7293447293447294,0.9454022988505747,0.7293447293447294,1.0,1,1,265,85
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260442,0.8419684210526316,166,269,0.7473684210526316,0.9315789473684211,0.9894736842105263,0.812375249500998,0.9745508982035929,0.812375249500998,0.9894736842105263,0,0,500,0
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260443,0.8802157894736842,113,130,0.8263157894736842,0.9868421052631579,1.0,0.7262247838616714,0.9592274678111588,0.7262247838616714,1.0,1,1,251,95
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260444,0.7711894736842105,288,309,0.6210526315789474,0.7052631578947368,0.9236842105263158,0.7743467933491687,0.928030303030303,0.7743467933491687,1.0,1,1,393,27
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260445,0.7988052631578947,318,391,0.7,0.8710526315789474,0.8947368421052632,0.810379241516966,0.9478021978021978,0.810379241516966,1.0,1,0,446,54
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260446,0.847657894736842,176,195,0.7026315789473684,0.95,0.9947368421052631,0.7630922693266833,0.9575892857142857,0.7630922693266833,1.0,1,1,365,35
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260447,0.8346368421052631,219,244,0.6921052631578948,0.8736842105263158,1.0,0.810379241516966,0.9661921708185054,0.810379241516966,1.0,1,0,288,212
cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),GAT-ON,20260603,0.8779157894736842,130,169,0.8184210526315789,0.9973684210526316,1.0,0.5851528384279476,0.9030612244897959,0.5851528384279476,1.0,1,1,201,27
course4_native_config,Course-4 native config seed 20260431,GAT-ON,20260431,0.8944736842105262,97,106,0.9236842105263158,1.0,1.0,0.3624161073825503,0.8137254901960784,0.3624161073825503,1.0,1,1,123,25
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-ON,20260440,0.8944736842105262,97,106,0.9236842105263158,1.0,1.0,0.3624161073825503,0.8137254901960784,0.3624161073825503,1.0,1,1,123,25
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-ON,20260441,0.8720105263157896,147,152,0.7447368421052631,1.0,1.0,0.5432692307692307,0.8541666666666666,0.5432692307692307,1.0,1,1,176,31
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-ON,20260442,0.891042105263158,105,114,0.8657894736842106,1.0,1.0,0.4919786096256685,0.8858024691358025,0.4919786096256685,1.0,1,1,152,34
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-ON,20260443,0.8884684210526316,108,129,0.8736842105263158,1.0,1.0,0.4973544973544973,0.88125,0.4973544973544973,1.0,1,1,156,32
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-ON,20260444,0.8908105263157895,103,121,0.881578947368421,1.0,1.0,0.483695652173913,0.88125,0.483695652173913,1.0,1,1,147,36
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-ON,20260445,0.8847,112,123,0.8236842105263158,1.0,1.0,0.810379241516966,0.976159793814433,0.810379241516966,1.0,1,0,179,321
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-ON,20260446,0.8928052631578948,109,121,0.8868421052631579,1.0,1.0,0.4692737430167598,0.8623188405797102,0.4692737430167598,1.0,1,1,155,23
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-ON,20260447,0.8837947368421053,113,122,0.8157894736842105,1.0,1.0,0.4692737430167598,0.8576923076923076,0.4692737430167598,1.0,1,1,143,35
cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),GAT-CUAP,20260603,0.8932210526315789,99,109,0.9078947368421053,1.0,1.0,0.4632768361581921,0.8798701298701299,0.4632768361581921,1.0,1,1,135,41
course4_native_config,Course-4 native config seed 20260431,GAT-CUAP,20260431,0.8917894736842105,110,116,0.8631578947368421,1.0,1.0,0.4311377245508982,0.8348214285714286,0.4311377245508982,1.0,1,1,130,36
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-CUAP,20260440,0.8917894736842105,110,116,0.8631578947368421,1.0,1.0,0.4311377245508982,0.8348214285714286,0.4311377245508982,1.0,1,1,130,36
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-CUAP,20260441,0.8750421052631578,127,144,0.8342105263157895,1.0,1.0,0.5739910313901345,0.9,0.5739910313901345,1.0,1,1,182,40
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-CUAP,20260442,0.8857105263157894,116,127,0.8236842105263158,0.9973684210526316,0.9973684210526316,0.8108782435129741,0.9765625,0.8108782435129741,0.9973684210526316,0,0,500,0
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-CUAP,20260443,0.8865105263157894,112,123,0.85,1.0,1.0,0.5128205128205128,0.8902439024390244,0.5128205128205128,1.0,1,1,157,37
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-CUAP,20260444,0.8826105263157895,116,129,0.8184210526315789,1.0,1.0,0.4602272727272727,0.8389830508474576,0.4602272727272727,1.0,1,1,152,23
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-CUAP,20260445,0.8802000000000001,125,138,0.7973684210526316,1.0,1.0,0.5642201834862385,0.8967391304347826,0.5642201834862385,1.0,1,1,175,42
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-CUAP,20260446,0.8834263157894736,116,124,0.8184210526315789,1.0,1.0,0.5077720207253886,0.8782894736842105,0.5077720207253886,1.0,1,1,163,29
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-CUAP,20260447,0.8818894736842106,117,123,0.7947368421052632,1.0,1.0,0.5077720207253886,0.8766666666666667,0.5077720207253886,1.0,1,1,170,22
